"No.","Time","Source","Destination","Protocol","Length","Info"
"12601","531.175068915","10.0.2.15","18.192.151.104","MQTT","195","Publish Message [university/department2]"
"12603","531.224052775","18.192.151.104","10.0.2.15","MQTT","195","Publish Message [university/department2]"
"12612","531.661111269","::1","::1","MQTT","117","Publish Message [metaverse/building3/area3]"
"12614","531.661199526","::1","::1","MQTT","117","Publish Message [metaverse/building3/area3]"
"12616","531.661211005","::1","::1","MQTT","117","Publish Message [metaverse/building3/area3]"
"12618","532.067886529","10.0.2.15","18.192.151.104","MQTT","214","Publish Message [university/facility3/section1/pollution]"
"12620","532.103519049","18.192.151.104","10.0.2.15","MQTT","214","Publish Message [university/facility3/section1/pollution]"
"12622","532.105318872","18.192.151.104","10.0.2.15","MQTT","213","Publish Message [university/facility3/section1/pollution]"
"12624","532.198815378","10.0.2.15","35.158.43.69","MQTT","211","Publish Message [university/facility3/area3/temperature]"
"12626","532.243149765","18.192.151.104","10.0.2.15","MQTT","211","Publish Message [university/facility3/area3/temperature]"
"12628","532.243150159","18.192.151.104","10.0.2.15","MQTT","212","Publish Message [university/facility3/area3/temperature]"
"12631","532.561495593","10.0.2.15","35.158.43.69","MQTT","189","Publish Message [university/room2]"
"12633","532.671786684","18.192.151.104","10.0.2.15","MQTT","189","Publish Message [university/room2]"
"12635","533.685332906","::1","::1","MQTT","239","Publish Message [hospital/facility3/room2/humidity]"
"12641","533.939094693","10.0.2.15","5.196.78.28","MQTT","83","Publish Message [factory/building3/area3]"
"12643","534.174289841","10.0.2.15","35.158.43.69","MQTT","197","Publish Message [metaverse/room2/section1]"
"12645","534.355414429","10.0.2.15","18.192.151.104","MQTT","203","Publish Message [university/facility3/section1]"
"12647","534.393415109","18.192.151.104","10.0.2.15","MQTT","203","Publish Message [university/facility3/section1]"
"12649","534.393932571","18.192.151.104","10.0.2.15","MQTT","204","Publish Message [university/facility3/section1]"
"12656","535.143232405","10.0.2.15","5.196.78.28","MQTT","194","Publish Message [factory/department2]"
"12658","535.429225761","10.0.2.15","18.192.151.104","MQTT","210","Publish Message [hospital/facility3/section1/pollution]"
"12660","535.507980484","::1","::1","MQTT","217","Publish Message [factory/room2]"
"12662","535.508146487","::1","::1","MQTT","217","Publish Message [factory/room2]"
"12666","536.738154697","10.0.2.15","5.196.78.28","MQTT","190","Publish Message [factory/building3]"
"12668","537.264975535","10.0.2.15","35.158.43.69","MQTT","84","Publish Message [hospital/building3/area3]"
"12670","537.449162288","10.0.2.15","18.192.151.104","MQTT","195","Publish Message [university/room2/room2]"
"12672","537.704870416","18.192.151.104","10.0.2.15","MQTT","196","Publish Message [university/room2/room2]"
"12674","537.707619309","18.192.151.104","10.0.2.15","MQTT","195","Publish Message [university/room2/room2]"
"12676","537.818609917","::1","::1","MQTT","224","Publish Message [hospital/facility3]"
"12678","537.945827761","10.0.2.15","35.158.43.69","MQTT","187","Publish Message [hospital/room2]"
"12680","538.012745725","10.0.2.15","5.196.78.28","MQTT","208","Publish Message [metaverse/facility3/floor4/humidity]"
"12682","538.103463946","::1","::1","MQTT","225","Publish Message [metaverse/building3]"
"12684","538.103628029","::1","::1","MQTT","224","Publish Message [metaverse/building3]"
"12686","538.103637122","::1","::1","MQTT","224","Publish Message [metaverse/building3]"
"12688","538.103724587","::1","::1","MQTT","225","Publish Message [metaverse/building3]"
"12690","538.246567731","::1","::1","MQTT","224","Publish Message [metaverse/facility3]"
"12692","538.246696891","::1","::1","MQTT","224","Publish Message [metaverse/facility3]"
"12694","538.246702973","::1","::1","MQTT","224","Publish Message [metaverse/facility3]"
"12696","538.246709164","::1","::1","MQTT","225","Publish Message [metaverse/facility3]"
"12703","538.796463176","10.0.2.15","18.192.151.104","MQTT","205","Publish Message [hospital/department2/room2/light]"
"12707","539.764184350","::1","::1","MQTT","226","Publish Message [metaverse/department2]"
"12709","539.764447675","::1","::1","MQTT","226","Publish Message [metaverse/department2]"
"12711","539.764459101","::1","::1","MQTT","226","Publish Message [metaverse/department2]"
"12713","539.764465768","::1","::1","MQTT","227","Publish Message [metaverse/department2]"
"12719","539.931900516","10.0.2.15","5.196.78.28","MQTT","200","Publish Message [university/facility3/floor4]"
"12725","541.275358730","::1","::1","MQTT","229","Publish Message [hospital/building3/room2]"
"12727","541.600182838","10.0.2.15","35.158.43.69","MQTT","94","Publish Message [hospital/facility3/floor4/humidity]"
"12729","541.952285819","10.0.2.15","35.158.43.69","MQTT","192","Publish Message [metaverse/facility3]"
"12731","542.170174905","10.0.2.15","18.192.151.104","MQTT","199","Publish Message [hospital/department2/area3]"
"12733","542.261661188","10.0.2.15","18.192.151.104","MQTT","98","Publish Message [factory/department2/area3/temperature]"
"12735","542.417231708","::1","::1","MQTT","230","Publish Message [factory/room2/room2/light]"
"12737","542.417516236","::1","::1","MQTT","230","Publish Message [factory/room2/room2/light]"
"12739","542.450374542","10.0.2.15","35.158.43.69","MQTT","192","Publish Message [hospital/facility3]"
"12743","544.458569496","10.0.2.15","18.192.151.104","MQTT","205","Publish Message [factory/room2/section1/humidity]"
"12745","544.526068060","10.0.2.15","5.196.78.28","MQTT","192","Publish Message [metaverse/facility3]"
"12749","545.112076781","10.0.2.15","35.158.43.69","MQTT","203","Publish Message [metaverse/room2/section1/light]"
"12751","545.257553032","10.0.2.15","18.192.151.104","MQTT","193","Publish Message [factory/department2]"
"12753","545.310770562","18.192.151.104","10.0.2.15","MQTT","192","Publish Message [factory/department2]"
"12755","545.484750932","::1","::1","MQTT","239","Publish Message [hospital/facility3/area3/humidity]"
"12760","545.771884880","::1","::1","MQTT","240","Publish Message [factory/department2/floor4/humidity]"
"12762","545.772359110","::1","::1","MQTT","240","Publish Message [factory/department2/floor4/humidity]"
"12768","545.995934871","10.0.2.15","18.192.151.104","MQTT","210","Publish Message [university/building3/room2/pollution]"
"12770","546.016665914","18.192.151.104","10.0.2.15","MQTT","211","Publish Message [university/building3/room2/pollution]"
"12773","546.075404141","18.192.151.104","10.0.2.15","MQTT","210","Publish Message [university/building3/room2/pollution]"
"12777","546.360334603","10.0.2.15","18.192.151.104","MQTT","191","Publish Message [factory/building3]"
"12779","546.418282475","18.192.151.104","10.0.2.15","MQTT","190","Publish Message [factory/building3]"
"12781","546.742731003","10.0.2.15","18.192.151.104","MQTT","193","Publish Message [metaverse/facility3]"
"12784","546.806313135","10.0.2.15","18.192.151.104","MQTT","185","Publish Message [factory/room2]"
"12786","546.825552979","18.192.151.104","10.0.2.15","MQTT","185","Publish Message [factory/room2]"
"12790","547.096868588","10.0.2.15","5.196.78.28","MQTT","200","Publish Message [hospital/facility3/section1]"
"12792","547.190220635","10.0.2.15","18.192.151.104","MQTT","202","Publish Message [hospital/department2/section1]"
"12796","548.507579207","10.0.2.15","5.196.78.28","MQTT","77","Publish Message [factory/building3]"
"12798","548.713536786","10.0.2.15","18.192.151.104","MQTT","213","Publish Message [university/room2/floor4/hydraulic_valve]"
"12800","548.749430362","18.192.151.104","10.0.2.15","MQTT","212","Publish Message [university/room2/floor4/hydraulic_valve]"
"12802","548.749847000","18.192.151.104","10.0.2.15","MQTT","213","Publish Message [university/room2/floor4/hydraulic_valve]"
"12804","549.078641841","10.0.2.15","18.192.151.104","MQTT","209","Publish Message [factory/building3/floor4/temperature]"
"12806","549.307773382","10.0.2.15","18.192.151.104","MQTT","216","Publish Message [hospital/department2/floor4/hydraulic_valve]"
"12813","549.902081871","10.0.2.15","18.192.151.104","MQTT","208","Publish Message [hospital/department2/floor4/deposit]"
"12815","550.212763509","10.0.2.15","35.158.43.69","MQTT","189","Publish Message [university/room2]"
"12817","550.237382926","18.192.151.104","10.0.2.15","MQTT","189","Publish Message [university/room2]"
"12819","550.563148243","10.0.2.15","18.192.151.104","MQTT","189","Publish Message [university/room2]"
"12821","550.605134407","18.192.151.104","10.0.2.15","MQTT","189","Publish Message [university/room2]"
"12823","551.097068276","10.0.2.15","35.158.43.69","MQTT","194","Publish Message [university/facility3]"
"12825","551.126851743","18.192.151.104","10.0.2.15","MQTT","194","Publish Message [university/facility3]"
"12827","552.106235138","::1","::1","MQTT","242","Publish Message [university/building3/section1/deposit]"
"12829","552.106823932","::1","::1","MQTT","242","Publish Message [university/building3/section1/deposit]"
