"No.","Time","Source","Destination","Protocol","Length","Info"
"6378","137.430980493","10.0.2.15","5.196.78.28","MQTT","190","Publish Message [factory/facility3]"
"6380","137.765178607","10.0.2.15","5.196.78.28","MQTT","212","Publish Message [university/facility3/section1/humidity]"
"6410","140.658207899","10.0.2.15","5.196.78.28","MQTT","209","Publish Message [university/facility3/area3/humidity]"
"6446","142.154549313","10.0.2.15","5.196.78.28","MQTT","87","Publish Message [university/facility3/floor4]"
"6501","142.985339734","10.0.2.15","5.196.78.28","MQTT","211","Publish Message [hospital/room2/floor4/hydraulic_valve]"
"6515","143.318837102","10.0.2.15","5.196.78.28","MQTT","201","Publish Message [metaverse/department2/floor4]"
"6523","143.684100769","10.0.2.15","5.196.78.28","MQTT","187","Publish Message [hospital/room2]"
"6527","144.085169418","10.0.2.15","5.196.78.28","MQTT","212","Publish Message [university/building3/room2/temperature]"
"6547","145.439170133","10.0.2.15","5.196.78.28","MQTT","209","Publish Message [factory/facility3/section1/pollution]"
"6592","149.119790436","10.0.2.15","5.196.78.28","MQTT","80","Publish Message [factory/room2/floor4]"
"6625","149.486701552","10.0.2.15","5.196.78.28","MQTT","200","Publish Message [factory/building3/section1]"
"6634","150.242307207","10.0.2.15","5.196.78.28","MQTT","193","Publish Message [university/facility3]"
"6719","156.124154871","10.0.2.15","5.196.78.28","MQTT","187","Publish Message [factory/room2]"
"6727","156.487238794","10.0.2.15","5.196.78.28","MQTT","191","Publish Message [hospital/building3]"
"6748","157.808672234","10.0.2.15","5.196.78.28","MQTT","193","Publish Message [university/facility3]"
"6786","158.770311835","10.0.2.15","5.196.78.28","MQTT","201","Publish Message [factory/room2/floor4/deposit]"
"6812","160.765841339","10.0.2.15","5.196.78.28","MQTT","86","Publish Message [metaverse/building3/floor4]"
"6850","164.144895763","10.0.2.15","5.196.78.28","MQTT","190","Publish Message [factory/facility3]"
"6867","165.556479697","10.0.2.15","5.196.78.28","MQTT","220","Publish Message [university/department2/section1/hydraulic_valve]"
"6873","167.046943051","10.0.2.15","5.196.78.28","MQTT","199","Publish Message [university/facility3/room2]"
"6875","167.242012939","10.0.2.15","5.196.78.28","MQTT","190","Publish Message [factory/facility3]"
"6896","169.731611274","10.0.2.15","5.196.78.28","MQTT","192","Publish Message [hospital/building3]"
"6904","171.253326260","10.0.2.15","5.196.78.28","MQTT","188","Publish Message [metaverse/room2]"
"6914","171.764167937","10.0.2.15","5.196.78.28","MQTT","188","Publish Message [metaverse/room2]"
"6946","173.713781002","10.0.2.15","5.196.78.28","MQTT","210","Publish Message [hospital/building3/section1/pollution]"
"6954","175.358810405","10.0.2.15","5.196.78.28","MQTT","201","Publish Message [factory/department2/section1]"
"6983","178.161371066","10.0.2.15","5.196.78.28","MQTT","203","Publish Message [factory/facility3/floor4/light]"
"6985","178.207094888","10.0.2.15","5.196.78.28","MQTT","195","Publish Message [university/building3]"
"7003","180.609327610","10.0.2.15","5.196.78.28","MQTT","89","Publish Message [metaverse/building3/section1]"
"7011","181.042926672","10.0.2.15","5.196.78.28","MQTT","211","Publish Message [metaverse/facility3/floor4/temperature]"
"7021","182.629895568","10.0.2.15","5.196.78.28","MQTT","195","Publish Message [metaverse/department2]"
"7035","183.461848815","10.0.2.15","5.196.78.28","MQTT","208","Publish Message [factory/facility3/floor4/pollution]"
"7065","184.441050147","10.0.2.15","5.196.78.28","MQTT","188","Publish Message [hospital/room2]"
